price,carpet_area,facing,bedrooms,bathrooms,balcony,furnish_type,prop_type,city,Store Room,ageing,location_area,luxury_category,floor_category
2.91,1080.0,North-East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
4.8,806.0,West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Dadar,Low,Mid Floor
7.11,1150.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Khar,Low,Mid Floor
1.25,550.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,New,Kurla,Low,High Floor
2.1,670.0,East,2.0,2.0,0.0,Furnished,Flat,Mumbai,0,Old,Kandivali,Low,Mid Floor
1.6,612.0,East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Thane,Medium,Mid Floor
3.11,860.0,North,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Kandivali,Low,Mid Floor
0.85,284.0,East,1.0,1.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Borivali,Low,Low Floor
0.68,579.0,East,2.0,2.0,2.0,Semifurnished,Flat,Mumbai,0,New,Vasai-Virar,Medium,Low Floor
0.81,398.48,Missing,2.0,2.0,3.0,Unfurnished,Flat,Thane,0,Relatively New,Thane,Low,Mid Floor
0.34,400.0,East,1.0,1.0,3.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Vasai-Virar,Medium,Mid Floor
3.8,1124.03,West,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,1,Relatively New,Kandivali,High,High Floor
3.46,1125.0,East,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
1.15,408.0,East,1.0,2.0,0.0,Semifurnished,Flat,Thane,0,Relatively New,Thane,Medium,High Floor
1.35,600.0,East,2.0,1.0,0.0,Semifurnished,Flat,Thane,0,Old,Thane,Low,Low Floor
1.02,850.0,East,3.0,3.0,3.0,Semifurnished,Flat,Thane,0,New,Others,Medium,High Floor
0.4,600.0,Missing,1.0,1.0,0.0,Unfurnished,Flat,Thane,0,Relatively Old,Kalyan-Dombivli,Low,Mid Floor
1.48,789.0,South,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Mulund,Medium,Mid Floor
1.1,1100.0,East,3.0,3.0,3.0,Unfurnished,Flat,Navi Mumbai,0,Relatively Old,Roadpali,Medium,High Floor
2.75,742.0,East,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,New,Chembur,Medium,Mid Floor
0.97,568.0,Missing,2.0,2.0,1.0,Unfurnished,Flat,Thane,0,Relatively New,Thane,Medium,High Floor
1.4,425.0,East,1.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Borivali,Medium,Mid Floor
0.75,248.62,Missing,1.0,1.0,0.0,Unfurnished,Flat,Mumbai,0,New,Kandivali,Low,Mid Floor
3.18,1125.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,Mid Floor
4.93,1095.0,West,3.0,3.0,3.0,Furnished,Flat,Mumbai,0,Relatively New,Vikhroli,Medium,Mid Floor
0.34,353.0,Missing,1.0,1.0,0.0,Semifurnished,Flat,Thane,0,New,Kalyan-Dombivli,Medium,High Floor
1.05,408.0,Missing,1.0,2.0,0.0,Unfurnished,Flat,Thane,0,New,Thane,Low,High Floor
0.75,790.0,East,2.0,2.0,3.0,Unfurnished,Flat,Navi Mumbai,0,Relatively Old,Roadpali,Medium,High Floor
0.98,568.0,West,2.0,2.0,1.0,Unfurnished,Flat,Thane,0,Relatively New,Thane,Medium,High Floor
4.5,1073.0,North,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,New,Borivali,High,Mid Floor
4.75,847.0,North,3.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Andheri,Medium,High Floor
2.66,900.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,Mid Floor
2.2,686.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Andheri,Medium,Mid Floor
5.25,1460.0,East,4.0,4.0,3.0,Unfurnished,Flat,Mumbai,1,Relatively New,Kandivali,Medium,High Floor
4.25,1113.0,East,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,1,Relatively New,Kandivali,Medium,High Floor
3.61,1017.0,South-East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,Mid Floor
3.7,997.0,North-West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
3.52,1033.0,North-West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
6.05,1600.0,North,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Thane,High,High Floor
5.37,1833.0,East,3.0,4.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively New,Mumbai,High,High Floor
2.25,765.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,Mid Floor
3.13,1125.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
3.4,1125.0,East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
7.25,2100.0,North,3.0,3.0,3.0,Unfurnished,Flat,Mumbai,0,Old,Andheri,Low,High Floor
3.12,1125.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,Mid Floor
3.57,1100.0,West,3.0,3.0,0.0,Furnished,Flat,Mumbai,0,Relatively Old,Others,High,High Floor
2.05,700.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Thane,High,High Floor
3.65,1050.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
2.81,775.0,West,2.0,2.0,2.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,Mid Floor
4.7,1276.0,West,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
3.66,1084.0,West,3.0,3.0,2.0,Semifurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,Mid Floor
2.06,635.0,South,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Vasai-Virar,High,Mid Floor
3.26,932.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,Mid Floor
7.5,2089.0,North-East,4.0,4.0,1.0,Furnished,Flat,Mumbai,0,Relatively New,Mulund,Medium,Mid Floor
2.65,893.0,West,2.0,2.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively New,Vasai-Virar,High,High Floor
2.55,910.0,North,3.0,3.0,2.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Malad,High,Mid Floor
2.95,825.0,East,2.0,2.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
3.55,1180.0,South-East,3.0,3.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively New,Vasai-Virar,High,Mid Floor
4.76,1318.0,North-West,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
2.85,750.0,West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Andheri,Medium,High Floor
3.5,850.0,North,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Parel,Medium,Low Floor
3.2,950.0,East,3.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Kandivali,Medium,High Floor
1.86,609.0,North,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
4.0,880.0,West,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Worli,Low,Low Floor
2.25,750.0,South,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Kandivali,Low,High Floor
4.0,1000.0,North,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Mumbai,Low,Mid Floor
3.25,1076.0,South,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Kandivali,Low,Mid Floor
1.45,636.0,Missing,2.0,2.0,2.0,Semifurnished,Flat,Mumbai,0,Old,Dahisar,Low,Mid Floor
3.18,932.0,East,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
1.65,588.0,North,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Kandivali,Medium,High Floor
1.9,700.0,South-West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Chembur,Medium,Mid Floor
1.98,667.0,North-East,2.0,2.0,0.0,Furnished,Flat,Mumbai,0,Relatively New,Mulund,Medium,High Floor
1.8,700.0,North,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Chembur,Medium,High Floor
2.3,676.0,North-West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Chembur,Medium,Mid Floor
1.45,600.0,North,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Dahisar,Low,Mid Floor
1.99,585.0,North,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Andheri,Medium,High Floor
1.1,430.0,West,1.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Dahisar,Low,Low Floor
2.54,565.0,West,2.0,2.0,0.0,Furnished,Flat,Mumbai,0,New,Andheri,Medium,Mid Floor
2.1,975.0,North,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,1,Relatively New,Kandivali,Medium,Low Floor
1.75,619.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
3.19,932.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
2.75,800.0,North,3.0,2.0,0.0,Furnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
4.0,1400.0,North-East,4.0,4.0,3.0,Semifurnished,Flat,Navi Mumbai,0,Old,Belapur,Medium,Mid Floor
0.95,360.0,South-East,1.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,New,Malad,Low,Mid Floor
2.02,690.0,West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Vasai-Virar,Medium,High Floor
6.25,980.0,East,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Santacruz,Medium,Mid Floor
2.85,1050.0,East,3.0,3.0,1.0,Furnished,Flat,Mumbai,0,Relatively Old,Kandivali,Medium,Mid Floor
