,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,prop_type,city,luxury_score,Others,Servant Room,Study Room,Pooja Room,Store Room,ageing,location_area
6240,37000000.0,9250.0,,2750.0,,West,Co-operative Society,3.0,4.0,3.0,0.0,Furnished,House,Mumbai,314,1,0,0,0,0,Old,Mira-Bhayandar
6244,25000000.0,8333.0,,5000.0,6000.0,East,Freehold,1.0,1.0,3.0,0.0,Unfurnished,House,Navi Mumbai,0,1,0,0,1,0,Relatively New,Kalyan-Dombivli
6246,45000000.0,15000.0,,3000.0,,West,Freehold,5.0,6.0,3.0,0.0,Furnished,House,Mumbai,94,1,1,1,1,0,Relatively Old,Thane
6256,110000000.0,34064.0,,3000.0,5000.0,North-East,Co-operative Society,7.0,7.0,3.0,0.0,Furnished,House,Navi Mumbai,98,0,1,0,1,1,Old,Kharghar
6274,30000000.0,8333.0,,3000.0,3600.0,East,Freehold,3.0,3.0,3.0,0.0,Unfurnished,House,Navi Mumbai,102,0,1,0,0,0,Under Construction,Others
6276,110000000.0,34064.0,,3228.0,4357.0,North-East,Freehold,8.0,8.0,3.0,0.0,Semifurnished,House,Navi Mumbai,106,0,1,0,1,1,Old,Kharghar
6278,60000000.0,13935.0,,2500.0,3500.0,North-East,Freehold,4.0,4.0,1.0,0.0,Semifurnished,House,Navi Mumbai,72,1,0,0,0,0,Old,Nerul
6286,25000000.0,6250.0,,3300.0,,East,Freehold,4.0,3.0,2.0,0.0,Semifurnished,House,Mumbai,102,1,1,1,1,0,Old,Vasai-Virar
6294,41100000.0,13700.0,,2730.0,,North-East,Freehold,4.0,4.0,3.0,0.0,Unfurnished,House,Mumbai,330,0,0,0,0,1,Under Construction,Mira-Bhayandar
6297,45000000.0,12857.0,,3500.0,,West,Freehold,4.0,4.0,3.0,0.0,Semifurnished,House,Mumbai,124,0,0,0,0,1,Relatively Old,Thane
6311,65000000.0,24621.0,,2640.0,,East,Leasehold,3.0,3.0,3.0,0.0,Furnished,House,Thane,204,0,1,0,1,1,Relatively New,Thane
6360,30000000.0,8571.0,,2800.0,3500.0,West,Co-operative Society,4.0,4.0,2.0,0.0,,House,Thane,292,0,0,1,0,1,Old,Thane
6361,65000000.0,26000.0,,2500.0,3500.0,West,Co-operative Society,4.0,4.0,2.0,0.0,Semifurnished,House,Thane,326,0,1,0,0,1,Old,Thane
6362,72500000.0,29000.0,,2500.0,3500.0,West,Co-operative Society,5.0,5.0,2.0,0.0,Furnished,House,Thane,332,0,1,0,0,1,Old,Thane
6364,75000000.0,25000.0,,3000.0,3500.0,West,Co-operative Society,4.0,4.0,3.0,0.0,Furnished,House,Thane,344,0,1,1,1,0,Relatively Old,Thane
6365,72500000.0,29000.0,,2500.0,,West,Co-operative Society,4.0,4.0,2.0,0.0,Semifurnished,House,Thane,344,0,1,0,1,0,Old,Thane
6366,90000000.0,27272.0,,3300.0,4000.0,West,Co-operative Society,4.0,4.0,3.0,0.0,Furnished,House,Thane,332,0,1,0,0,1,Relatively Old,Thane
6369,19000000.0,2617.0,,3000.0,3500.0,East,Freehold,4.0,5.0,2.0,0.0,Furnished,House,Thane,102,1,1,1,1,0,Relatively New,Karjat
6377,38000000.0,5846.0,,4500.0,5000.0,East,Freehold,6.0,6.0,3.0,0.0,Furnished,House,Thane,102,1,1,1,1,0,New,Karjat
6378,19900000.0,2192.0,,3200.0,,East,Freehold,4.0,4.0,3.0,0.0,Unfurnished,House,Thane,264,1,1,1,0,0,New,Karjat
6380,20000000.0,2203.0,,3200.0,,East,Freehold,4.0,4.0,3.0,0.0,Unfurnished,House,Thane,250,1,1,0,0,0,New,Karjat
6383,35000000.0,5384.0,,4000.0,,East,Freehold,6.0,8.0,3.0,0.0,Unfurnished,House,Thane,102,1,1,1,0,0,New,Karjat
6386,80000000.0,4444.0,,4500.0,,East,Freehold,4.0,6.0,3.0,0.0,Furnished,House,Thane,288,1,1,1,1,0,Relatively New,Karjat
6387,82500000.0,4583.0,,4000.0,,East,Freehold,4.0,6.0,3.0,0.0,Furnished,House,Thane,270,1,1,1,1,0,Relatively New,Karjat
6483,69500000.0,32284.0,,6000.0,10000.0,West,Freehold,4.0,5.0,3.0,0.0,Semifurnished,House,Navi Mumbai,148,0,1,1,1,0,Relatively New,Kharghar
6515,25000000.0,9615.0,,2600.0,2700.0,East,Freehold,3.0,3.0,1.0,0.0,Semifurnished,House,Thane,144,0,0,0,1,0,Relatively Old,Thane
6546,20100000.0,2214.0,,3200.0,,East,Freehold,4.0,4.0,3.0,0.0,Unfurnished,House,Thane,264,1,1,0,0,0,New,Karjat
6847,110000000.0,23913.0,4600.0,4000.0,4400.0,South-West,Freehold,6.0,6.0,2.0,0.0,Unfurnished,Flat,Mumbai,252,0,0,0,0,1,Relatively New,Thane
6954,55000000.0,22000.0,,2500.0,,South-East,Freehold,4.0,4.0,3.0,23.0,Unfurnished,Flat,Mumbai,400,0,1,1,0,0,Relatively New,Thane
7218,97500000.0,38491.0,,2533.0,,West,Freehold,3.0,3.0,2.0,19.0,Semifurnished,Flat,Mumbai,268,0,0,0,0,0,Relatively New,Parel
7647,68500000.0,10538.0,,2850.0,,,Freehold,4.0,5.0,1.0,0.0,,House,Mumbai,0,0,0,0,0,0,Relatively New,Goregaon
7804,80000000.0,20000.0,,4000.0,,West,Co-operative Society,5.0,4.0,0.0,14.0,Unfurnished,Flat,Mumbai,216,0,1,0,0,0,Relatively Old,Malad
7839,80000000.0,32840.0,,2436.0,,East,Co-operative Society,6.0,8.0,2.0,0.0,Unfurnished,Flat,Mumbai,238,0,0,0,0,0,Relatively New,Dahisar
8532,85000000.0,31481.0,,2700.0,,East,Freehold,4.0,6.0,0.0,0.0,Furnished,Flat,Mumbai,166,0,1,0,1,1,Old,Malad
8557,92000000.0,38333.0,,2400.0,,East,Freehold,4.0,4.0,3.0,2.0,Furnished,Flat,Mumbai,148,0,1,0,0,0,Old,Vile Parle
9037,70000000.0,23333.0,,2750.0,3000.0,North-East,Freehold,5.0,5.0,1.0,0.0,Furnished,House,Mumbai,0,0,0,0,0,0,Undefined,Mumbai
9068,54900000.0,22408.0,,2450.0,,South-West,Co-operative Society,4.0,5.0,3.0,3.0,Furnished,Flat,Mumbai,174,1,1,1,1,0,Old,Jogeshwari
9456,95000000.0,28692.0,,3311.0,,South,Freehold,4.0,6.0,3.0,6.0,Semifurnished,Flat,Mumbai,222,1,1,1,1,0,Relatively New,Malad
9680,60000000.0,24630.0,,2436.0,,South-East,Freehold,4.0,4.0,3.0,22.0,Unfurnished,Flat,Mumbai,104,1,1,1,1,0,Relatively Old,Goregaon
