,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
5911,"Bandra West, Mumbai, Western Mumbai",Bandra,210000000,50000,,,4200,,Freehold,5,5,0,0,Semifurnished,4.4,House,Mumbai,0,0,0,0,0,0,Undefined,Bandra
8031,The Manor,Babulnath,210000000,90322,,2325,,,Leasehold,4,5,1,9,Unfurnished,,Flat,Mumbai,238,1,1,1,1,0,Under Construction,Others
6290,Estrella villa,Bhayandar,207500000,89555,,2600,,North-East,Freehold,3,3,3,0,Unfurnished,4.2,House,Mumbai,314,0,0,1,0,0,Under Construction,Mira-Bhayandar
2474,Radius One Central Avenue,Santacruz,207000000,93243,,2220,,West,Co-operative Society,4,4,1,9,Unfurnished,4.3,Flat,Mumbai,58,1,0,0,0,0,New,Santacruz
5048,Hiranandani Evita,Panchkutir Ganesh Nagar,205000000,42931,4775,3800,4200,South-East,Freehold,5,5,3,3,Unfurnished,4,Flat,Mumbai,412,0,1,1,0,0,Old,Powai
210,Rustomjee Crown,Prabhadevi,200000000,78125,,2560,,West,Freehold,4,4,0,0,Semifurnished,4.3,Flat,Mumbai,210,0,1,0,0,0,New,Worli
2227,Rustomjee Crown,Prabhadevi,200000000,98087,,2039,,North-East,Freehold,4,5,0,27,Furnished,4.3,Flat,Mumbai,136,0,1,0,0,0,Relatively New,Worli
2855,Jvpd Scheme,Juhu,200000000,74074,2700,2400,,North,Co-operative Society,4,6,3,6,Semifurnished,4.4,Flat,Mumbai,232,0,1,0,1,0,Old,Juhu
4509,81 Aureate,Bandra,200000000,47483,,4212,,South-East,Freehold,4,5,3,7,Unfurnished,4,Flat,Mumbai,228,0,1,0,0,0,Relatively New,Bandra
5833,"Juhu Tara, Mumbai, Western Mumbai",Juhu Tara,200000000,75531,,,,,Co-operative Society,3,3,3,0,Unfurnished,,House,Mumbai,0,0,0,0,0,0,Old,Juhu
6211,"Sector 21 Kharghar, Navi Mumbai",Sector 21 Kharghar,200000000,33333,,5000,6000,East,Freehold,8,9,3,0,Unfurnished,3.9,House,Navi Mumbai,86,0,0,0,1,0,Relatively New,Kharghar
6973,Kabra Shabnam,Juhu,200000000,80000,,2500,,,Freehold,5,4,3,10,Unfurnished,4.4,Flat,Mumbai,104,1,1,0,1,1,Relatively New,Juhu
6985,Kabra Shabnam,Juhu,200000000,80000,,2500,,,Freehold,5,4,3,10,Unfurnished,4.4,Flat,Mumbai,104,1,1,0,1,1,Relatively New,Juhu
7558,Indiabulls Blu,Worli,200000000,95238,,2100,,West,Freehold,4,5,0,23,Semifurnished,3.8,Flat,Mumbai,320,0,0,0,0,1,Relatively Old,Worli
8018,Rustomjee 9 JVPD,Jvpd Scheme,200000000,66666,3000,2250,,North,Freehold,4,4,3,6,Furnished,4,Flat,Mumbai,144,1,1,1,1,0,Old,Juhu
7260,windermere,Santacruz,199000000,87549,,2273,,West,Co-operative Society,4,4,1,11,Unfurnished,4.3,Flat,Mumbai,42,0,0,0,0,0,New,Santacruz
8956,81 Aureate,Bandra,195000000,46296,4212,,,,Freehold,4,4,0,12,,4,Flat,Mumbai,0,0,0,0,0,0,Relatively New,Bandra
6620,Cassias Building,Bandra,192500000,89451,,2152,,West,Freehold,4,5,0,13,Semifurnished,4.4,Flat,Mumbai,84,0,0,0,0,0,New,Bandra
6020,Site Visit,Khar,190000000,68840,,2760,,,Freehold,4,4,1,0,Semifurnished,4.4,House,Mumbai,124,0,1,0,0,0,Old,Khar
8549,Hiranandani Evita,Hiranandani Gardens Powai,190000000,51351,4500,3700,,East,Freehold,5,4,2,10,Furnished,4,Flat,Mumbai,146,0,1,0,1,0,Relatively Old,Powai
5238,Windsor Grande Residences,Andheri,188100000,57000,,,,,,,,,,,4,Flat,Mumbai,49,0,0,0,0,0,,Andheri
3358,Hiranandani Evita,Panchkutir Ganesh Nagar,185000000,27694,6680,4575,5680,South-East,Freehold,5,5,3,3,Furnished,4,Flat,Mumbai,400,1,1,1,1,0,Relatively Old,Powai
4767,81 Aureate,Bandra,185000000,43922,,4212,,North-West,Freehold,4,5,3,12,Unfurnished,4,Flat,Mumbai,48,1,1,0,1,1,Relatively New,Bandra
6258,Ahuja Harbour Estate,Nerul,185000000,74000,,2500,,,Freehold,5,5,2,0,Unfurnished,4.4,House,Navi Mumbai,238,0,0,1,0,0,Relatively Old,Nerul
207,"Borivali West, Mumbai, Western Mumbai",Borivali,180000000,31858,,5650,,South-East,Freehold,7,6,3,0,,4.3,House,Mumbai,44,1,1,0,0,0,Old,Borivali
2054,Godrej RKS,Sion Trombay Road,180000000,59405,,3030,,East,Co-operative Society,4,4,3,15,Unfurnished,4.1,Flat,Mumbai,368,0,1,0,0,0,Relatively New,Sion
3275,AP Windermere,Santacruz,180000000,79190,,2273,,East,Freehold,4,4,1,11,Unfurnished,4.3,Flat,Mumbai,90,1,0,0,0,0,New,Santacruz
4707,Satra Residency,Khar,180000000,36734,,4900,,East,Freehold,4,4,3,8,Furnished,4.3,Flat,Mumbai,118,1,0,0,1,1,Relatively Old,Khar
5043,Icon by the Bay,Bandra,180000000,110429,,1630,,,Freehold,3,3,3,14,Unfurnished,4.4,Flat,Mumbai,254,1,0,1,1,0,New,Bandra
5281,"Kandivali West, Mumbai, Western Mumbai",Kandivali,180000000,40000,,4500,,East,Freehold,6,7,0,0,Furnished,4.3,House,Mumbai,76,0,0,0,1,0,Old,Kandivali
5710,Krishna Heritage CHS.LTD,Borivali,180000000,38297,,4700,,East,Freehold,7,6,1,0,Semifurnished,4.3,House,Mumbai,60,0,0,1,0,0,Old,Borivali
6001,magnum tower,Andheri,180000000,33962,,5300,,East,Freehold,8,8,0,0,Furnished,4.3,House,Mumbai,76,1,0,1,1,0,Relatively Old,Andheri
6094,"Pali Hill, Mumbai, Western Mumbai",Pali Hill,180000000,25714,,,7000,,Freehold,5,6,0,,,3.9,House,Mumbai,0,0,0,0,0,0,,Bandra
6154,14 th road,Khar,180000000,86330,,2085,2760,North-East,Freehold,4,4,3,0,Furnished,4.4,House,Mumbai,284,1,1,1,1,0,Old,Khar
6184,Khar Danda Road,Khar,180000000,75000,,2400,,West,Co-operative Society,4,4,0,0,Unfurnished,4.4,House,Mumbai,176,0,0,0,0,0,Relatively Old,Khar
6220,T Bhimjyani Neelkanth Woods,Manpada,180000000,44063,,4420,,East,Freehold,5,4,3,0,Unfurnished,4.3,House,Thane,234,0,0,0,0,0,Under Construction,Thane
6996,jvpd scheme,Juhu,180000000,46165,3899,2599,3119,East,Freehold,4,4,0,4,Semifurnished,4.4,Flat,Mumbai,54,0,0,0,0,0,Relatively Old,Juhu
8903,MICL Aaradhya Evoq,Juhu,180000000,64864,,2775,,,Freehold,4,4,3,3,Unfurnished,4.4,Flat,Mumbai,162,0,1,0,0,0,New,Juhu
6728,Hiranandani Gardens Tivoli,Hiranandani Gardens Powai,176000000,65185,3600,2700,3400,East,Co-operative Society,4,5,2,20,Semifurnished,4.6,Flat,Mumbai,312,0,1,1,1,0,Old,Powai
5702,Juhu Abhishek CHSL,Four Bungalows,175000000,39772,,4400,,,Freehold,5,6,3,0,Furnished,4.1,House,Mumbai,16,0,1,0,0,0,Old,Andheri
6171,T Bhimjyani Neelkanth Woods,Manpada,175000000,42500,,,,North,Co-operative Society,5,6,3,0,Semifurnished,4.3,House,Thane,166,1,1,1,1,0,Relatively New,Thane
7605,joy solitaire juhu scheme,Juhu Scheme,175000000,58333,3000,,,,Freehold,5,7,3,7,Furnished,4.2,Flat,Mumbai,0,0,1,0,0,0,Relatively Old,Juhu
7836,Lodha Adrina,Worli,174800000,76066,,2298,,North,Freehold,5,5,0,0,Unfurnished,4.3,Flat,Mumbai,162,0,1,0,0,0,New,Worli
1178,Lodha Adrina,Worli,174500000,76602,,2278,,North,Freehold,5,5,0,0,Unfurnished,4.4,Flat,Mumbai,102,0,1,0,0,0,New,Worli
2997,One Avighna Park,Lower Parel,174500000,87250,3100,2000,2500,North,Freehold,3,3,1,20,Furnished,4.5,Flat,Mumbai,84,0,1,0,0,0,Relatively New,Parel
1912,Indiabulls Blu,Worli,170000000,79069,,2150,,West,Freehold,4,4,0,25,Semifurnished,4,Flat,Mumbai,288,0,0,1,0,0,Relatively New,Worli
2726,Rustomjee Crown,Prabhadevi,170000000,55051,,3088,,North-East,Freehold,5,6,0,36,Semifurnished,4.3,Flat,Mumbai,192,0,1,0,0,0,Relatively New,Worli
3083,Transcon Triumph,Andheri,170000000,54838,,3100,,,Freehold,5,6,0,27,Furnished,3.8,Flat,Mumbai,74,1,1,1,1,0,Relatively Old,Andheri
3159,Roodraksh Pratham.,Chembur,170000000,48571,,3500,,,Freehold,5,7,3,18,,4.1,Flat,Mumbai,306,0,1,0,0,0,Relatively New,Chembur
5785,Brighton Tower,Lokhandwala Andheri,170000000,47222,,3600,,North,Co-operative Society,4,5,2,0,Semifurnished,4.5,House,Mumbai,164,1,1,1,1,0,Old,Andheri
6817,Kalpana Building,Khar,170000000,53968,,3150,,North-West,Freehold,4,5,0,4,Unfurnished,4.4,Flat,Mumbai,74,0,1,0,0,1,Old,Khar
7022,Kalpana Building,Khar,170000000,53968,,3150,,North-West,Freehold,4,5,0,4,Unfurnished,4.3,Flat,Mumbai,74,0,1,0,0,1,Old,Khar
7489,Kalpataru Avana,Parel,170000000,64030,3550,2655,3000,,Freehold,5,6,1,17,Unfurnished,4.4,Flat,Mumbai,100,0,0,0,0,1,Relatively New,Parel
7510,Rustomjee Crown,Prabhadevi,170000000,66666,2550,2158,2300,East,Freehold,4,6,0,39,Unfurnished,3.3,Flat,Mumbai,164,0,0,0,0,1,Relatively New,Worli
7556,Rustomjee Crown,Prabhadevi,170000000,80952,,2100,,West,Freehold,4,5,0,0,Unfurnished,3.3,Flat,Mumbai,86,0,0,0,0,1,New,Worli
1484,Lodha Adrina,Worli,169000000,74187,,2278,,North,Freehold,5,5,0,0,Unfurnished,4.4,Flat,Mumbai,162,0,1,0,0,0,New,Worli
8686,Lodha Adrina,Worli,169000000,74187,,2278,,North,Freehold,5,5,0,0,Unfurnished,4.4,Flat,Mumbai,102,0,1,0,0,0,New,Worli
9694,Piramal Mahalaxmi,Mahalaxmi,167100000,52251,3198,1878,3098,East,Freehold,4,4,0,0,Unfurnished,3.8,Flat,Mumbai,246,0,0,0,1,0,Relatively New,Parel
9711,Piramal Mahalaxmi,Mahalaxmi,167100000,52251,3198,1878,3098,East,Freehold,3,3,0,36,Unfurnished,3.8,Flat,Mumbai,260,0,0,0,1,0,Relatively New,Parel
9696,Piramal Mahalaxmi,Mahalaxmi,163300000,51530,3169,1860,3069,East,Freehold,5,4,0,31,Unfurnished,3.8,Flat,Mumbai,260,0,0,0,1,0,Relatively New,Parel
9716,Piramal Mahalaxmi,Mahalaxmi,163300000,51530,3169,1860,3069,East,Freehold,5,4,0,0,Unfurnished,3.8,Flat,Mumbai,260,0,0,0,1,0,Relatively New,Parel
1885,Godrej RKS,Chembur,160000000,52840,,3028,,East,Freehold,5,5,3,14,Unfurnished,4.1,Flat,Mumbai,108,0,0,0,0,1,Relatively New,Chembur
3398,Piramal Aranya,Byculla,160000000,56278,,2843,,West,Leasehold,4,4,1,0,Unfurnished,3.7,Flat,Mumbai,92,1,1,0,0,1,New,Byculla
5384,the siddha chsl,Andheri,160000000,42105,,7500,,East,Co-operative Society,4,5,3,0,Furnished,4.3,House,Mumbai,40,1,1,0,1,0,Old,Andheri
5688,Mysore Colony,Chembur,160000000,35555,,4500,5760,East,Co-operative Society,5,5,3,0,Semifurnished,3.9,House,Mumbai,168,1,1,1,1,0,Old,Chembur
5887,Vikas Classic,Chembur,160000000,35555,,4500,5760,East,Freehold,6,1,0,0,Furnished,4.1,House,Mumbai,114,0,0,0,1,0,Old,Chembur
6015,Hiranandani Gardens Eden Bungalows,Hiranandani Gardens Powai,160000000,45714,,2500,3000,East,Freehold,4,4,2,0,Semifurnished,4.6,House,Mumbai,288,0,0,1,0,0,Relatively Old,Powai
6192,T Bhimjyani Verraton,Manpada,160000000,21333,,5000,,East,Freehold,5,6,3,0,Semifurnished,4.3,House,Thane,352,1,1,0,1,1,Relatively New,Thane
6248,Harbour Court,Sector 19A Nerul,160000000,29729,,,,,Co-operative Society,4,4,3,0,Semifurnished,3.9,House,Navi Mumbai,56,0,0,0,0,0,Old,Nerul
6517,T Bhimjyani Neelkanth Woods,Manpada,160000000,45714,,3500,4100,West,Freehold,4,4,3,0,Semifurnished,4.3,House,Thane,344,1,1,0,1,0,Relatively New,Thane
8856,sea breeze apartment,Juhu,160000000,106666,,,1500,,Freehold,3,3,2,4,Furnished,4.4,Flat,Mumbai,0,0,0,0,0,0,Old,Juhu
9695,Lodha Seamont,Walkeshwar,160000000,122050,,,,North-East,Freehold,3,3,0,11,Furnished,4.3,Flat,Mumbai,148,0,0,0,0,0,Relatively Old,Girgaon
2913,Godrej RKS,Chembur,155000000,51188,,3028,,,Freehold,5,5,2,15,Unfurnished,4.1,Flat,Mumbai,108,0,0,0,1,0,New,Chembur
1118,Lodha Adrina,Worli,154900000,67760,,2286,,West,Freehold,4,5,0,26,Unfurnished,4.3,Flat,Mumbai,362,0,0,1,0,0,New,Worli
218,Lodha World Towers,Worli,153000000,45671,,2696,3350,West,Freehold,4,5,3,12,Unfurnished,4.2,Flat,Mumbai,166,1,1,0,1,0,Relatively New,Worli
3352,Lodha World Towers,Worli,151000000,55925,3300,2700,3200,North-East,Freehold,4,4,1,10,Semifurnished,4.2,Flat,Mumbai,362,0,1,1,0,0,New,Worli
3641,Rustomjee Crown,Prabhadevi,150000000,55555,2700,2100,2600,North-East,Freehold,4,4,1,30,Semifurnished,4.4,Flat,Mumbai,370,1,1,0,0,0,Relatively New,Worli
5942,"saras baug, Deonar",Deonar,150000000,30000,,,,West,Co-operative Society,3,3,3,0,Unfurnished,3.9,House,Mumbai,82,0,0,0,0,1,Old,Chembur
6166,Kalpataru Kshitij,Malabar Hill,150000000,60000,,,,,Freehold,5,5,3,0,,4.3,House,Mumbai,0,0,0,0,0,0,New,Girgaon
6172,T Bhimjyani Neelkanth Woods,Manpada,150000000,30000,,4300,4500,East,Freehold,5,5,3,0,Furnished,4.3,House,Thane,344,1,1,0,1,0,Relatively New,Thane
6204,T Bhimjyani Neelkanth Woods,Manpada,150000000,18307,,5200,6300,East,Co-operative Society,4,5,3,0,Semifurnished,4.3,House,Thane,16,1,1,0,1,0,Relatively New,Thane
6207,bungalow,Sector 21 Kharghar,150000000,75000,,3000,3500,East,Freehold,5,5,3,0,Furnished,3.9,House,Navi Mumbai,182,0,0,0,1,0,Relatively New,Kharghar
6341,T Bhimjyani Verraton,Manpada,150000000,27272,,3700,,North,Freehold,4,4,2,0,Furnished,4.3,House,Thane,328,1,1,1,1,0,Relatively New,Thane
6505,T Bhimjyani Neelkanth Woods,Manpada,150000000,19520,,3500,5500,West,Freehold,5,5,3,0,Semifurnished,4.3,House,Thane,330,1,1,0,1,0,Relatively Old,Thane
6582,Godrej RKS,Chembur,150000000,49537,,,,East,Freehold,,,,15,,4.1,,Mumbai,164,0,0,0,1,0,New,Chembur
6605,Merchant House,Colaba,150000000,72204,,,,,Freehold,6,6,0,0,Semifurnished,4.4,House,Mumbai,28,0,0,0,0,0,Old,Colaba
6995,JVPD ROAD,Juhu,150000000,45454,3300,2200,2640,East,Freehold,4,4,0,4,Semifurnished,4.4,Flat,Mumbai,66,0,0,0,0,0,Relatively Old,Juhu
7195,Prestige Jasdan Classic,Mahalaxmi,150000000,65019,,2307,,South-West,Freehold,4,4,1,31,,4,Flat,Mumbai,202,0,1,0,0,0,New,Parel
9476,Rustomjee Crown,Prabhadevi,150000000,51724,2900,2200,2800,North-East,Freehold,4,4,1,40,Semifurnished,4.3,Flat,Mumbai,338,0,1,1,0,0,New,Worli
7082,Lodha Adrina,Worli,149900000,40711,3682,2171,3582,East,Freehold,4,4,0,0,Unfurnished,4.3,Flat,Mumbai,246,0,0,0,1,0,Relatively New,Worli
7086,Lodha Adrina,Worli,149900000,40711,3682,2171,3582,East,Freehold,4,4,0,0,Unfurnished,4.3,Flat,Mumbai,246,0,0,0,1,0,Relatively New,Worli
1825,Rustomjee Crown,Prabhadevi,145000000,67441,2800,2150,2700,North-East,Freehold,4,4,1,40,Semifurnished,4.3,Flat,Mumbai,362,0,1,1,0,0,Relatively New,Worli
175,Regency Avenue Apartment,Santacruz,140000000,59574,,2350,,West,Freehold,3,4,3,8,Semifurnished,4.3,Flat,Mumbai,74,1,1,0,1,0,Relatively Old,Santacruz
2832,Oberoi Springs,Andheri,140000000,58333,,2400,,East,Freehold,4,4,1,14,Furnished,4.2,Flat,Mumbai,196,1,1,1,1,0,Relatively Old,Andheri
3048,JVPD SCHEME,Juhu Scheme,140000000,42424,3300,2200,2640,East,Freehold,4,4,0,6,Semifurnished,4.2,Flat,Mumbai,68,0,0,0,0,0,Relatively Old,Juhu
3065,Rustomjee Crown,Prabhadevi,140000000,65116,3018,2150,2690,East,Freehold,4,5,0,0,Unfurnished,4.3,Flat,Mumbai,370,0,0,0,1,0,Relatively New,Worli
5766,Mysore Colony CHS,Chembur,140000000,28907,,4500,5400,West,Freehold,7,7,3,0,Semifurnished,3.9,House,Mumbai,282,0,0,1,1,0,Old,Chembur
5961,Juhu Abhishek CHSL,Four Bungalows,140000000,28571,,4900,,,Co-operative Society,5,3,2,0,Furnished,4.1,House,Mumbai,30,1,0,0,0,0,Old,Andheri
5991,"Upper Govind Nagar, Malad East, Western Mumbai",Upper Govind Nagar,140000000,46666,,2000,,,Co-operative Society,7,7,1,0,Furnished,4.1,House,Mumbai,192,0,1,0,1,1,Old,Thane
5995,"Chuim Village, Khar, Mumbai, Western Mumbai",Chuim Village,140000000,70000,,1700,,,Freehold,4,2,1,0,,,House,Mumbai,0,1,0,0,0,1,Old,Andheri
6018,Monisha Tower,Lokhandwala Andheri,140000000,40000,,3000,,West,Freehold,5,5,2,0,Furnished,4.5,House,Mumbai,152,1,1,1,0,0,Old,Andheri
8638,Serenity Tower,Santacruz,140000000,50000,,2800,,East,Co-operative Society,3,4,3,12,Furnished,4.3,Flat,Mumbai,244,0,0,1,0,0,Relatively Old,Santacruz
8703,Oberoi Springs,Andheri,140000000,56000,,2500,3750,East,Co-operative Society,4,4,3,31,Furnished,4.2,Flat,Mumbai,352,1,0,1,0,0,Old,Andheri
46,JVPD ROAD,Juhu,135000000,40909,3300,2230,2640,East,Freehold,4,4,0,5,Semifurnished,4.4,Flat,Mumbai,66,0,0,0,0,0,Relatively Old,Juhu
111,Kalpataru Solitaire,Juhu,135000000,72000,,1875,,South-East,Co-operative Society,3,4,3,4,Unfurnished,4.4,Flat,Mumbai,162,0,1,0,0,0,Relatively Old,Juhu
610,Dalamal Apartment,Cuffe Parade,135000000,73569,,1835,,South-East,Co-operative Society,3,4,0,8,Semifurnished,4,Flat,Mumbai,246,0,1,0,0,0,Old,Colaba
2807,Sanghvi Villa,Irla,135000000,48214,,2800,,West,Freehold,4,4,3,2,Unfurnished,3.7,Flat,Mumbai,196,0,1,1,0,0,Old,Andheri
5104,Rohan Lifescapes Aquino,Prabhadevi,135000000,59210,2280,1880,2080,West,Freehold,3,4,2,25,Unfurnished,4.3,Flat,Mumbai,364,0,0,1,0,0,Relatively New,Worli
6182,T Bhimjyani Neelkanth Woods,Manpada,135000000,24107,,5600,,East,Co-operative Society,5,5,3,0,Furnished,4.3,House,Thane,204,1,1,1,1,0,Old,Thane
7424,Sky City by Oberoi Realty,Borivali,135000000,51923,2600,2200,2400,East,Freehold,6,6,2,0,Semifurnished,4.2,Flat,Mumbai,266,0,0,1,1,0,Relatively New,Borivali
9193,Omkar 1973 Worli,Hanuman Nagar,135000000,63679,,2120,,South,Co-operative Society,3,3,3,16,Semifurnished,3.8,Flat,Mumbai,174,0,0,0,0,0,Relatively Old,Kalyan-Dombivli
9388,Lokhandwala Minerva,Mahalaxmi,135000000,37251,3624,2136,3524,East,Freehold,4,4,1,39,Unfurnished,3.5,Flat,Mumbai,280,0,0,0,1,0,Relatively New,Parel
9391,Lokhandwala Minerva,Mahalaxmi,135000000,38626,3495,2058,3395,East,Freehold,4,3,1,39,Unfurnished,3.5,Flat,Mumbai,280,0,0,0,1,0,Relatively New,Parel
479,Hiranandani Glen Ridge,Hiranandani Gardens Powai,132500000,50000,2650,2000,2500,East,Freehold,4,5,0,18,Semifurnished,4.6,Flat,Mumbai,386,0,1,1,0,0,Relatively Old,Powai
3191,Oberoi Springs,Andheri,132500000,51158,2590,1799,1997,West,Co-operative Society,4,4,3,32,Furnished,4.1,Flat,Mumbai,240,0,0,0,0,0,Old,Andheri
6263,Mysore Colony CHS,Chembur,132500000,38405,,3450,4140,North,Freehold,6,6,3,0,Semifurnished,3.9,House,Mumbai,268,0,0,1,1,0,Old,Chembur
3497,Roodraksh Pratham,Chembur,130000000,39334,,3305,,East,Freehold,5,5,3,9,Unfurnished,4.1,Flat,Mumbai,230,0,0,0,0,0,Relatively New,Chembur
5802,"Mysore Colony, Chembur East, Central Mumbai",Mysore Colony,130000000,19117,,,,North,Freehold,6,6,0,0,Unfurnished,3.5,House,Mumbai,52,0,0,0,0,0,Old,Mankhurd
5958,Row House,Chembur,130000000,56521,,2300,,,Freehold,4,3,1,0,Furnished,3.9,House,Mumbai,96,0,0,0,0,0,Old,Chembur
6004,Kalpataru Divya Swapna,Chembur,130000000,34273,,3793,,East,Freehold,4,4,1,0,Semifurnished,4.1,House,Mumbai,220,1,0,1,0,0,Old,Chembur
6403,sundar nagar,Kalina,130000000,30303,,,,,Freehold,6,6,3,0,Furnished,4.3,House,Mumbai,0,0,0,0,0,0,Old,Santacruz
7650,Raj Grandeur,Powai,130000000,38690,3360,,,North,Co-operative Society,4,5,3,15,,3.9,Flat,Mumbai,286,0,1,0,0,0,Relatively Old,Powai
