,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
7109,Lodha The Park,Worli,120000000,78688,,1525,,North-East,Freehold,4,5,1,0,Unfurnished,4.4,Flat,Mumbai,210,0,0,0,0,1,Relatively New,Worli
7111,Lodha The Park,Worli,120000000,78688,,1525,,North-East,Freehold,4,5,0,0,Unfurnished,4.4,Flat,Mumbai,210,0,0,0,0,0,Relatively New,Worli
7423,Ajmera Prive,Jvpd Scheme,120000000,69244,,1733,,West,Freehold,4,4,3,2,Unfurnished,4,Flat,Mumbai,310,0,0,1,0,0,New,Juhu
7933,Midcity Shikhar,Andheri,120000000,40983,,2928,,South,Co-operative Society,5,5,3,18,Unfurnished,4.3,Flat,Mumbai,220,0,1,0,0,0,Relatively Old,Andheri
8224,Ekta Lake Superior,Powai,120000000,26666,4500,,,,Freehold,5,5,3,1,Semifurnished,4.2,Flat,Mumbai,148,0,1,0,0,0,Old,Powai
8545,nakshatra,Pali Hill,120000000,75949,,1580,,,Co-operative Society,3,4,2,5,,4,Flat,Mumbai,0,0,0,0,0,0,Old,Bandra
6851,Samartha Meghdoot Tower,Lokhandwala Andheri,119900000,42714,2807,2700,2750,West,Freehold,4,4,0,3,Furnished,4.5,Flat,Mumbai,386,0,0,0,1,0,Relatively Old,Andheri
6853,Ajmera Prive,Jvpd Scheme,119900000,44407,2700,1733,2150,West,Freehold,4,4,0,6,Unfurnished,4,Flat,Mumbai,328,0,0,0,0,1,New,Juhu
357,JVPD  ROAD,Juhu,118500000,40074,2957,1971,2365,East,Freehold,4,4,0,12,Semifurnished,4.4,Flat,Mumbai,66,0,0,0,0,0,Relatively Old,Juhu
9749,On Request,Bandra Kurla Complex,118000000,65000,,1815,,East,Freehold,4,4,1,18,Semifurnished,4.2,Flat,Mumbai,302,0,1,1,0,0,Relatively New,Bandra
7825,Birla Niyaara,Worli,117500000,100085,,1174,,North,Freehold,3,3,0,7,Unfurnished,4.3,Flat,Mumbai,126,0,0,0,0,0,Under Construction,Worli
9641,Piramal Mahalaxmi,Mahalaxmi,116000000,80000,,1450,,East,Freehold,3,3,1,30,Unfurnished,3.8,Flat,Mumbai,376,0,0,1,0,0,New,Parel
511,Triton,Santacruz,115900000,68988,,1680,,East,Freehold,3,4,0,15,Unfurnished,4.3,Flat,Mumbai,94,0,0,0,0,1,New,Santacruz
6617,Lodha World View,Upper Worli,115000000,60177,,1911,2500,West,Freehold,4,4,3,17,Unfurnished,3.9,Flat,Mumbai,168,0,0,0,0,1,Relatively New,Worli
9390,Ten BKC,Bandra,114000000,57000,2000,1636,1800,West,Co-operative Society,4,4,1,14,Unfurnished,4.3,Flat,Mumbai,226,0,1,0,0,1,New,Bandra
3103,Indiabulls Sky,Lower Parel,113200000,39034,2900,2450,,West,Freehold,3,5,0,17,Unfurnished,4.4,Flat,Mumbai,182,1,1,0,1,1,Relatively New,Parel
3521,Indiabulls Sky,Lower Parel,112700000,33641,3350,2477,2950,North-West,Freehold,3,4,3,17,Unfurnished,4.4,Flat,Mumbai,324,0,1,0,0,0,Relatively New,Parel
331,Bharat Skyvistas Bluez,Andheri,112500000,60810,,1850,,East,Freehold,4,4,3,10,Unfurnished,3.6,Flat,Mumbai,178,0,1,0,0,0,Relatively Old,Andheri
3002,GULMOHAR ROAD,Vile Parle,112500000,43478,,1725,2070,East,Freehold,3,3,0,8,Semifurnished,4.4,Flat,Mumbai,66,0,0,0,0,0,Relatively Old,Vile Parle
3165,Lodha Trump Tower,Upper Worli,112500000,51136,2200,1600,1900,East,Freehold,4,5,0,0,Unfurnished,4.1,Flat,Mumbai,170,1,1,0,1,1,Relatively New,Worli
7737,Kalpataru Habitat,Parel,112500000,53571,,2100,,West,Co-operative Society,5,5,1,16,Furnished,4.4,Flat,Mumbai,230,0,0,0,0,0,Old,Parel
287,Prathana Heights,Parel,111500000,46652,,2390,,North-East,Co-operative Society,4,4,3,24,Furnished,4.4,Flat,Mumbai,104,1,1,0,1,0,Old,Parel
3532,Arkade Aura,Santacruz,111500000,69125,,1613,,East,Co-operative Society,4,5,1,7,Unfurnished,4.3,Flat,Mumbai,58,0,0,0,0,0,New,Santacruz
